日期,时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,成交状态,最新成交时间
2014-06-10,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,1031.4652份,0.944,973.703,1031.4652份,-,-,14.83,全部成交,2014-06-12 09:30:00
2014-06-10,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,1185.3103份,0.760,900.599,1185.3103份,-,-,0,全部成交,2014-06-12 09:30:00
2014-06-17,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1233.211份,-,-,0,委托中,None
2014-06-17,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1412.1225份,-,-,0,委托中,None
2014-06-17,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1012.4527份,-,-,0,委托中,None
2014-06-17,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1178.0151份,-,-,0,委托中,None
2014-06-17,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1233.211份,-,-,0,委托中,None
2014-06-17,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1412.1225份,-,-,0,委托中,None
2014-06-17,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1012.4527份,-,-,0,委托中,None
2014-06-17,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1178.0151份,-,-,0,委托中,None
2014-06-17,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1225.6719份,0.765,937.394,1225.6719份,-,-,14.28,全部成交,2014-06-19 09:30:00
2014-06-17,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1402.9488份,0.695,975.049,1402.9488份,-,-,14.85,全部成交,2014-06-19 09:30:00
2014-06-17,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,1004.5681份,0.956,960.367,1004.5681份,-,-,14.62,全部成交,2014-06-19 09:30:00
2014-06-17,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,1192.0132份,0.757,902.831,1192.0132份,-,-,0,全部成交,2014-06-19 09:30:00
2014-06-24,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1307.4723份,-,-,0,委托中,None
2014-06-24,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1458.5056份,-,-,0,委托中,None
2014-06-24,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1061.2838份,-,-,0,委托中,None
2014-06-24,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1242.0507份,-,-,0,委托中,None
2014-06-24,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1307.4723份,-,-,0,委托中,None
2014-06-24,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1458.5056份,-,-,0,委托中,None
2014-06-24,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1061.2838份,-,-,0,委托中,None
2014-06-24,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1242.0507份,-,-,0,委托中,None
2014-06-24,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1281.227份,0.757,970.145,1281.227份,-,-,14.77,全部成交,2014-06-26 09:30:00
2014-06-24,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1430.3636份,0.688,984.09,1430.3636份,-,-,14.99,全部成交,2014-06-26 09:30:00
2014-06-24,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,1039.8452份,0.947,984.733,1039.8452份,-,-,15,全部成交,2014-06-26 09:30:00
2014-06-24,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,1235.4123份,0.748,924.583,1235.4123份,-,-,0,全部成交,2014-06-26 09:30:00
2014-07-01,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1275.3697份,-,-,0,委托中,None
2014-07-01,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1443.2508份,-,-,0,委托中,None
2014-07-01,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1036.6959份,-,-,0,委托中,None
2014-07-01,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1144.3862份,-,-,0,委托中,None
2014-07-01,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1275.3697份,-,-,0,委托中,None
2014-07-01,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1443.2508份,-,-,0,委托中,None
2014-07-01,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1036.6959份,-,-,0,委托中,None
2014-07-01,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1144.3862份,-,-,0,委托中,None
2014-07-01,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1258.0481份,0.764,961.023,1258.0481份,-,-,14.63,全部成交,2014-07-03 09:30:00
2014-07-01,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1423.6593份,0.691,983.749,1423.6593份,-,-,14.98,全部成交,2014-07-03 09:30:00
2014-07-01,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,1017.9775份,0.967,984.384,1017.9775份,-,-,14.99,全部成交,2014-07-03 09:30:00
2014-07-01,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,1146.3471份,0.759,869.734,1146.3471份,-,-,0,全部成交,2014-07-03 09:30:00
2014-07-08,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1232.5513份,-,-,0,委托中,None
2014-07-08,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1428.9101份,-,-,0,委托中,None
2014-07-08,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1021.18份,-,-,0,委托中,None
2014-07-08,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1093.6695份,-,-,0,委托中,None
2014-07-08,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1232.5513份,-,-,0,委托中,None
2014-07-08,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1428.9101份,-,-,0,委托中,None
2014-07-08,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1021.18份,-,-,0,委托中,None
2014-07-08,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1093.6695份,-,-,0,委托中,None
2014-07-08,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1213.1189份,0.772,935.921,1213.1189份,-,-,14.25,全部成交,2014-07-10 09:30:00
2014-07-08,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1405.4658份,0.700,983.826,1405.4658份,-,-,14.98,全部成交,2014-07-10 09:30:00
2014-07-08,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,1000.7512份,0.984,984.739,1000.7512份,-,-,15,全部成交,2014-07-10 09:30:00
2014-07-08,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,1089.6905份,0.770,838.626,1089.6905份,-,-,0,全部成交,2014-07-10 09:30:00
2014-07-15,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1246.058份,-,-,0,委托中,None
2014-07-15,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1422.4034份,-,-,0,委托中,None
2014-07-15,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1008.6份,-,-,0,委托中,None
2014-07-15,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1072.9033份,-,-,0,委托中,None
2014-07-15,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1246.058份,-,-,0,委托中,None
2014-07-15,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1422.4034份,-,-,0,委托中,None
2014-07-15,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1008.6份,-,-,0,委托中,None
2014-07-15,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1072.9033份,-,-,0,委托中,None
2014-07-15,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1225.6251份,0.775,949.859,1225.6251份,-,-,14.46,全部成交,2014-07-17 09:30:00
2014-07-15,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1399.0744份,0.703,983.549,1399.0744份,-,-,14.98,全部成交,2014-07-17 09:30:00
2014-07-15,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,992.4695份,0.992,984.53,992.4695份,-,-,14.99,全部成交,2014-07-17 09:30:00
2014-07-15,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,1065.4992份,0.782,833.753,1065.4992份,-,-,0,全部成交,2014-07-17 09:30:00
2014-07-22,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1232.3312份,-,-,0,委托中,None
2014-07-22,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1415.4684份,-,-,0,委托中,None
2014-07-22,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1014.7401份,-,-,0,委托中,None
2014-07-22,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1001.9616份,-,-,0,委托中,None
2014-07-22,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1232.3312份,-,-,0,委托中,None
2014-07-22,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1415.4684份,-,-,0,委托中,None
2014-07-22,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,1014.7401份,-,-,0,委托中,None
2014-07-22,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,1001.9616份,-,-,0,委托中,None
2014-07-22,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,1197.3365份,0.787,941.945,1197.3365份,-,-,14.34,全部成交,2014-07-24 09:30:00
2014-07-22,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1378.6147份,0.714,984.331,1378.6147份,-,-,14.99,全部成交,2014-07-24 09:30:00
2014-07-22,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,984.5262份,1.000,984.526,984.5262份,-,-,14.99,全部成交,2014-07-24 09:30:00
2014-07-22,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,988.4336份,0.792,783.334,988.4336份,-,-,0,全部成交,2014-07-24 09:30:00
2014-07-29,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,963.4936份,-,-,0,委托中,None
2014-07-29,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1139.3836份,-,-,0,委托中,None
2014-07-29,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,840.1738份,-,-,0,委托中,None
2014-07-29,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,667.6066份,-,-,0,委托中,None
2014-07-29,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,963.4936份,-,-,0,委托中,None
2014-07-29,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1139.3836份,-,-,0,委托中,None
2014-07-29,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,840.1738份,-,-,0,委托中,None
2014-07-29,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,667.6066份,-,-,0,委托中,None
2014-07-29,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,947.3479份,0.841,796.435,947.3479份,-,-,12.13,全部成交,2014-07-31 09:30:00
2014-07-29,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1120.8238份,0.764,856.309,1120.8238份,-,-,13.04,全部成交,2014-07-31 09:30:00
2014-07-29,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,818.9343份,1.054,863.157,818.9343份,-,-,13.14,全部成交,2014-07-31 09:30:00
2014-07-29,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,666.574份,0.840,560.255,666.574份,-,-,0,全部成交,2014-07-31 09:30:00
2014-08-05,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,917.3706份,-,-,0,委托中,None
2014-08-05,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1075.8396份,-,-,0,委托中,None
2014-08-05,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,782.7718份,-,-,0,委托中,None
2014-08-05,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,550.5661份,-,-,0,委托中,None
2014-08-05,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,917.3706份,-,-,0,委托中,None
2014-08-05,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1075.8396份,-,-,0,委托中,None
2014-08-05,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,782.7718份,-,-,0,委托中,None
2014-08-05,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,550.5661份,-,-,0,委托中,None
2014-08-05,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,907.7429份,0.853,774.032,907.7429份,-,-,11.79,全部成交,2014-08-07 09:30:00
2014-08-05,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1066.5654份,0.772,823.388,1066.5654份,-,-,12.54,全部成交,2014-08-07 09:30:00
2014-08-05,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,771.0302份,1.072,826.544,771.0302份,-,-,12.59,全部成交,2014-08-07 09:30:00
2014-08-05,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,550.3728份,0.855,470.459,550.3728份,-,-,0,全部成交,2014-08-07 09:30:00
2014-08-12,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,946.3982份,-,-,0,委托中,None
2014-08-12,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1120.5738份,-,-,0,委托中,None
2014-08-12,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,805.2251份,-,-,0,委托中,None
2014-08-12,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,511.9726份,-,-,0,委托中,None
2014-08-12,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,946.3982份,-,-,0,委托中,None
2014-08-12,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1120.5738份,-,-,0,委托中,None
2014-08-12,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,805.2251份,-,-,0,委托中,None
2014-08-12,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,511.9726份,-,-,0,委托中,None
2014-08-12,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,936.8444份,0.843,790.135,936.8444份,-,-,12.03,全部成交,2014-08-14 09:30:00
2014-08-12,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1111.0172份,0.761,845.484,1111.0172份,-,-,12.88,全部成交,2014-08-14 09:30:00
2014-08-12,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,792.415份,1.084,858.978,792.415份,-,-,13.08,全部成交,2014-08-14 09:30:00
2014-08-12,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,513.3475份,0.856,439.682,513.3475份,-,-,0,全部成交,2014-08-14 09:30:00
2014-08-19,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,909.8019份,-,-,0,委托中,None
2014-08-19,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1116.8614份,-,-,0,委托中,None
2014-08-19,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,778.0554份,-,-,0,委托中,None
2014-08-19,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,557.9691份,-,-,0,委托中,None
2014-08-19,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,909.8019份,-,-,0,委托中,None
2014-08-19,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1116.8614份,-,-,0,委托中,None
2014-08-19,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,778.0554份,-,-,0,委托中,None
2014-08-19,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,557.9691份,-,-,0,委托中,None
2014-08-19,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,897.423份,0.848,761.015,897.423份,-,-,11.59,全部成交,2014-08-21 09:30:00
2014-08-19,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1101.5484份,0.764,841.583,1101.5484份,-,-,12.82,全部成交,2014-08-21 09:30:00
2014-08-19,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,767.0851份,1.094,839.191,767.0851份,-,-,12.78,全部成交,2014-08-21 09:30:00
2014-08-19,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,557.5821份,0.865,482.309,557.5821份,-,-,0,全部成交,2014-08-21 09:30:00
2014-08-26,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1000.9522份,-,-,0,委托中,None
2014-08-26,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1248.4662份,-,-,0,委托中,None
2014-08-26,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,878.45份,-,-,0,委托中,None
2014-08-26,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,744.0861份,-,-,0,委托中,None
2014-08-26,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,1000.9522份,-,-,0,委托中,None
2014-08-26,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1248.4662份,-,-,0,委托中,None
2014-08-26,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,878.45份,-,-,0,委托中,None
2014-08-26,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,744.0861份,-,-,0,委托中,None
2014-08-26,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,993.0703份,0.829,823.653,993.0703份,-,-,12.54,全部成交,2014-08-28 09:30:00
2014-08-26,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1234.6647份,0.749,924.764,1234.6647份,-,-,14.08,全部成交,2014-08-28 09:30:00
2014-08-26,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,872.5513份,1.070,933.63,872.5513份,-,-,14.22,全部成交,2014-08-28 09:30:00
2014-08-26,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,754.7499份,0.844,637.235,754.7499份,-,-,0,全部成交,2014-08-28 09:30:00
2014-09-02,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,990.3002份,-,-,0,委托中,None
2014-09-02,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1245.2606份,-,-,0,委托中,None
2014-09-02,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,885.7885份,-,-,0,委托中,None
2014-09-02,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,627.0192份,-,-,0,委托中,None
2014-09-02,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,990.3002份,-,-,0,委托中,None
2014-09-02,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1245.2606份,-,-,0,委托中,None
2014-09-02,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,885.7885份,-,-,0,委托中,None
2014-09-02,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,627.0192份,-,-,0,委托中,None
2014-09-02,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,964.1914份,0.849,818.984,964.1914份,-,-,12.47,全部成交,2014-09-04 09:30:00
2014-09-02,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1212.1135份,0.763,924.843,1212.1135份,-,-,14.08,全部成交,2014-09-04 09:30:00
2014-09-02,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,862.9487份,1.096,945.792,862.9487份,-,-,14.4,全部成交,2014-09-04 09:30:00
2014-09-02,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,619.4071份,0.865,535.725,619.4071份,-,-,0,全部成交,2014-09-04 09:30:00
2014-09-09,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,879.7625份,-,-,0,委托中,None
2014-09-09,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1100.7926份,-,-,0,委托中,None
2014-09-09,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,772.5072份,-,-,0,委托中,None
2014-09-09,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,528.985份,-,-,0,委托中,None
2014-09-09,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,879.7625份,-,-,0,委托中,None
2014-09-09,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1100.7926份,-,-,0,委托中,None
2014-09-09,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,772.5072份,-,-,0,委托中,None
2014-09-09,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,528.985份,-,-,0,委托中,None
2014-09-09,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,866.8644份,0.872,755.472,866.8644份,-,-,11.5,全部成交,2014-09-11 09:30:00
2014-09-09,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,1089.8483份,0.779,848.992,1089.8483份,-,-,12.93,全部成交,2014-09-11 09:30:00
2014-09-09,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,758.8814份,1.120,849.947,758.8814份,-,-,12.94,全部成交,2014-09-11 09:30:00
2014-09-09,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,528.8055份,0.884,467.57,528.8055份,-,-,0,全部成交,2014-09-11 09:30:00
2014-09-16,09:30:00,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),申购,市价单,0份,--,0,923.1913份,-,-,0,委托中,None
2014-09-16,09:30:00,场外基金,银河沪深300价值指数证券投资基金(519671.OF),申购,市价单,0份,--,0,1183.452份,-,-,0,委托中,None
2014-09-16,09:30:00,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),申购,市价单,0份,--,0,829.1594份,-,-,0,委托中,None
2014-09-16,09:30:00,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),申购,市价单,0份,--,0,615.7333份,-,-,0,委托中,None
