日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价,保证金,当日盈亏,今手数,仓位占比
2014-01-20,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,2234.38份,2234.3832份,0.750,1675.34,-38.31,0.767,-,0,-25.25,0份,0.67%
2014-01-20,,Cash,,,,,242297.99,,,,,,
2014-01-21,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,2568.34份,2568.3351份,0.752,1930.62,-66.16,0.777,-,0,-10.02,0份,0.77%
2014-01-21,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,2888.94份,2888.9366份,0.665,1921.14,-71.78,0.690,-,0,-8.67,0份,0.77%
2014-01-21,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,2088.81份,2088.807份,0.925,1932.15,-66.51,0.957,-,0,-12.53,0份,0.77%
2014-01-21,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,2234.38份,2234.3832份,0.749,1673.78,-39.88,0.767,-,0,-1.56,0份,0.67%
2014-01-21,,Cash,,,,,242297.99,,,,,,
2014-01-22,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,2568.34份,2568.3351份,0.760,1951.93,-44.84,0.777,-,0,21.32,0份,0.78%
2014-01-22,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,2888.94份,2888.9366份,0.670,1935.59,-57.34,0.690,-,0,14.44,0份,0.77%
2014-01-22,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,2088.81份,2088.807份,0.933,1948.86,-49.8,0.957,-,0,16.71,0份,0.78%
2014-01-22,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,2234.38份,2234.3832份,0.757,1691.65,-22,0.767,-,0,17.88,0份,0.68%
2014-01-22,,Cash,,,,,242297.99,,,,,,
2014-01-23,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,3863.17份,3863.1694份,0.778,3007.09,11.26,0.775,-,0,71.08,1294.8343份,1.2%
2014-01-23,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,4354.95份,4354.9501份,0.685,2983.14,-6.97,0.687,-,0,65.32,1466.0135份,1.19%
2014-01-23,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,3144.19份,3144.1907份,0.955,3002.7,4.38,0.954,-,0,69.17,1055.3837份,1.2%
2014-01-23,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,3422.52份,3422.5158份,0.778,2661.35,48.16,0.764,-,0,70.16,1188.1326份,1.06%
2014-01-23,,Cash,,,,,238402.54,,,,,,
2014-01-24,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,3863.17份,3863.1694份,0.773,2984.3,-11.54,0.775,-,0,-22.79,0份,1.19%
2014-01-24,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,4354.95份,4354.9501份,0.679,2957.01,-33.1,0.687,-,0,-26.13,0份,1.18%
2014-01-24,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,3144.19份,3144.1907份,0.954,2999.56,1.24,0.954,-,0,-3.14,0份,1.2%
2014-01-24,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,3422.52份,3422.5158份,0.776,2654.85,41.66,0.764,-,0,-6.5,0份,1.06%
2014-01-24,,Cash,,,,,238402.54,,,,,,
2014-01-27,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,3863.17份,3863.1694份,0.777,2999.75,3.92,0.775,-,0,15.45,0份,1.2%
2014-01-27,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,4354.95份,4354.9501份,0.680,2961.37,-28.75,0.687,-,0,4.35,0份,1.18%
2014-01-27,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,3144.19份,3144.1907份,0.959,3015.28,16.96,0.954,-,0,15.72,0份,1.21%
2014-01-27,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,3422.52份,3422.5158份,0.783,2679.49,66.3,0.764,-,0,24.64,0份,1.07%
2014-01-27,,Cash,,,,,238402.54,,,,,,
2014-01-28,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,3863.17份,3863.1694份,0.766,2958.8,-37.03,0.775,-,0,-40.95,0份,1.18%
2014-01-28,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,4354.95份,4354.9501份,0.672,2926.53,-63.59,0.687,-,0,-34.84,0份,1.17%
2014-01-28,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,3144.19份,3144.1907份,0.950,2986.98,-11.34,0.954,-,0,-28.3,0份,1.2%
2014-01-28,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,3422.52份,3422.5158份,0.778,2661.69,48.5,0.764,-,0,-17.8,0份,1.06%
2014-01-28,,Cash,,,,,238402.54,,,,,,
2014-01-29,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,3863.17份,3863.1694份,0.768,2966.14,-29.69,0.775,-,0,7.34,0份,1.19%
2014-01-29,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,4354.95份,4354.9501份,0.676,2943.95,-46.17,0.687,-,0,17.42,0份,1.18%
2014-01-29,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,3144.19份,3144.1907份,0.951,2990.13,-8.2,0.954,-,0,3.14,0份,1.2%
2014-01-29,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,3422.52份,3422.5158份,0.778,2663.4,50.21,0.764,-,0,1.71,0份,1.07%
2014-01-29,,Cash,,,,,238402.54,,,,,,
2014-01-30,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,5145.9份,5145.8968份,0.772,3974.69,-21.02,0.776,-,0,23.67,1282.7274份,1.59%
2014-01-30,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,5808.45份,5808.4467份,0.678,3938.13,-49.51,0.687,-,0,11.62,1453.4966份,1.58%
