日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价,保证金,当日盈亏,今手数,仓位占比
2015-08-21,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.424,0.91,0.41,0.779,-,0,-0.02,0份,0%
2015-08-21,,Cash,,,,,400686.18,,,,,,
2015-08-24,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.300,0.95,0.36,0.806,-,0,-0.04,0份,0%
2015-08-24,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,0.42份,0.42160000000877份,1.146,0.48,0.18,0.726,-,0,-0.02,0份,0%
2015-08-24,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,0.65份,0.64799999999377份,1.747,1.13,0.5,0.980,-,0,-0.06,0份,0%
2015-08-24,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.366,0.88,0.38,0.779,-,0,-0.04,0份,0%
2015-08-24,,Cash,,,,,400686.18,,,,,,
2015-08-25,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.187,0.86,0.28,0.806,-,0,-0.08,0份,0%
2015-08-25,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,0.42份,0.42160000000877份,1.050,0.44,0.14,0.726,-,0,-0.04,0份,0%
2015-08-25,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,0.65份,0.64799999999377份,1.618,1.05,0.41,0.980,-,0,-0.08,0份,0%
2015-08-25,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.273,0.82,0.32,0.779,-,0,-0.06,0份,0%
2015-08-25,,Cash,,,,,400686.18,,,,,,
2015-08-26,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.100,0.8,0.21,0.806,-,0,-0.06,0份,0%
2015-08-26,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,0.42份,0.42160000000877份,0.981,0.41,0.11,0.726,-,0,-0.03,0份,0%
2015-08-26,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,0.65份,0.64799999999377份,1.507,0.98,0.34,0.980,-,0,-0.07,0份,0%
2015-08-26,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.204,0.77,0.27,0.779,-,0,-0.04,0份,0%
2015-08-26,,Cash,,,,,400686.18,,,,,,
2015-08-27,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.109,0.81,0.22,0.806,-,0,0.01,0份,0%
2015-08-27,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,0.988,501.95,-3.92,0.996,-,0,3.56,507.6205份,0.13%
2015-08-27,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.494,633.4,-14.88,1.529,-,0,-5.51,423.3165份,0.16%
2015-08-27,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.195,0.77,0.27,0.779,-,0,-0.01,0份,0%
2015-08-27,,Cash,,,,,399532.97,,,,,,
2015-08-28,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.179,0.86,0.27,0.806,-,0,0.05,0份,0%
2015-08-28,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.047,531.92,26.06,0.996,-,0,29.97,0份,0.13%
2015-08-28,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.561,661.81,13.52,1.529,-,0,28.41,0份,0.17%
2015-08-28,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.228,0.79,0.29,0.779,-,0,0.02,0份,0%
2015-08-28,,Cash,,,,,399532.97,,,,,,
2015-08-31,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.224,0.89,0.3,0.806,-,0,0.03,0份,0%
2015-08-31,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.082,549.7,43.84,0.996,-,0,17.78,0份,0.14%
2015-08-31,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.632,691.91,43.62,1.529,-,0,30.1,0份,0.17%
2015-08-31,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.275,0.82,0.32,0.779,-,0,0.03,0份,0%
2015-08-31,,Cash,,,,,399532.97,,,,,,
2015-09-01,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.233,0.9,0.31,0.806,-,0,0.01,0份,0%
2015-09-01,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.096,556.81,50.95,0.996,-,0,7.11,0份,0.14%
2015-09-01,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.612,683.43,35.14,1.529,-,0,-8.48,0份,0.17%
2015-09-01,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.266,0.81,0.31,0.779,-,0,-0.01,0份,0%
2015-09-01,,Cash,,,,,399532.97,,,,,,
2015-09-02,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.230,0.9,0.31,0.806,-,0,0,0份,0%
2015-09-02,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.106,561.89,56.03,0.996,-,0,5.08,0份,0.14%
2015-09-02,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.576,668.17,19.88,1.529,-,0,-15.26,0份,0.17%
2015-09-02,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.255,0.81,0.31,0.779,-,0,-0.01,0份,0%
2015-09-02,,Cash,,,,,399532.97,,,,,,
2015-09-07,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.234,0.9,0.31,0.806,-,0,0,0份,0%
2015-09-07,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.115,566.47,60.6,0.996,-,0,4.57,0份,0.14%
2015-09-07,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.575,667.74,19.46,1.529,-,0,-0.42,0份,0.17%
2015-09-07,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.255,0.8,0.31,0.779,-,0,0,0份,0%
2015-09-07,,Cash,,,,,399532.97,,,,,,
2015-09-08,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.190,0.87,0.28,0.806,-,0,-0.03,0份,0%
2015-09-08,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.065,541.06,35.2,0.996,-,0,-25.4,0份,0.14%
2015-09-08,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.546,655.45,7.16,1.529,-,0,-12.29,0份,0.16%
2015-09-08,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.229,0.79,0.29,0.779,-,0,-0.02,0份,0%
2015-09-08,,Cash,,,,,399532.97,,,,,,
2015-09-09,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.222,0.89,0.3,0.806,-,0,0.02,0份,0%
2015-09-09,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.087,552.24,46.38,0.996,-,0,11.18,0份,0.14%
2015-09-09,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.593,675.38,27.09,1.529,-,0,19.93,0份,0.17%
2015-09-09,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.248,0.8,0.3,0.779,-,0,0.01,0份,0%
2015-09-09,,Cash,,,,,399532.97,,,,,,
2015-09-10,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.244,0.91,0.32,0.806,-,0,0.02,0份,0%
2015-09-10,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.104,560.88,55.01,0.996,-,0,8.64,0份,0.14%
2015-09-10,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.626,689.37,41.08,1.529,-,0,13.99,0份,0.17%
2015-09-10,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.270,0.81,0.31,0.779,-,0,0.01,0份,0%
2015-09-10,,Cash,,,,,399532.97,,,,,,
2015-09-11,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.232,0.9,0.31,0.806,-,0,-0.01,0份,0%
2015-09-11,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.097,557.32,51.46,0.996,-,0,-3.56,0份,0.14%
2015-09-11,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.605,680.46,32.18,1.529,-,0,-8.9,0份,0.17%
2015-09-11,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.246,0.8,0.3,0.779,-,0,-0.02,0份,0%
2015-09-11,,Cash,,,,,399532.97,,,,,,
2015-09-14,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.228,0.89,0.31,0.806,-,0,0,0份,0%
2015-09-14,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.092,554.78,48.92,0.996,-,0,-2.54,0份,0.14%
2015-09-14,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.607,681.31,33.02,1.529,-,0,0.85,0份,0.17%
2015-09-14,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.243,0.8,0.3,0.779,-,0,0,0份,0%
2015-09-14,,Cash,,,,,399532.97,,,,,,
2015-09-15,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.210,0.88,0.29,0.806,-,0,-0.01,0份,0%
2015-09-15,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.090,553.77,47.9,0.996,-,0,-1.02,0份,0.14%
2015-09-15,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.539,652.48,4.19,1.529,-,0,-28.83,0份,0.16%
2015-09-15,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.186,0.76,0.26,0.779,-,0,-0.04,0份,0%
2015-09-15,,Cash,,,,,399532.97,,,,,,
2015-09-16,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.172,0.85,0.27,0.806,-,0,-0.03,0份,0%
2015-09-16,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.062,539.54,33.68,0.996,-,0,-14.23,0份,0.13%
2015-09-16,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,423.96份,423.96449999999份,1.463,620.26,-28.03,1.529,-,0,-32.22,0份,0.15%
2015-09-16,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.141,0.73,0.23,0.779,-,0,-0.03,0份,0%
2015-09-16,,Cash,,,,,399532.97,,,,,,
2015-09-17,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.224,0.89,0.31,0.806,-,0,0.04,0份,0%
2015-09-17,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.099,558.34,52.47,0.996,-,0,18.8,0份,0.14%
2015-09-17,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.535,1152.28,18.74,1.510,-,0,54.05,326.7052份,0.29%
2015-09-17,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.195,0.77,0.27,0.779,-,0,0.03,0份,0%
2015-09-17,,Cash,,,,,399047.72,,,,,,
2015-09-18,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.197,0.87,0.29,0.806,-,0,-0.02,0份,0%
2015-09-18,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.076,546.65,40.79,0.996,-,0,-11.68,0份,0.14%
2015-09-18,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.503,1128.26,-5.28,1.510,-,0,-24.02,0份,0.28%
2015-09-18,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.167,0.75,0.25,0.779,-,0,-0.02,0份,0%
2015-09-18,,Cash,,,,,399047.72,,,,,,
2015-09-21,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.202,0.88,0.29,0.806,-,0,0,0份,0%
2015-09-21,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.079,548.18,42.31,0.996,-,0,1.52,0份,0.14%
2015-09-21,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.513,1135.76,2.23,1.510,-,0,7.51,0份,0.28%
2015-09-21,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.168,0.75,0.25,0.779,-,0,0,0份,0%
2015-09-21,,Cash,,,,,399047.72,,,,,,
2015-09-22,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.219,0.89,0.3,0.806,-,0,0.01,0份,0%
2015-09-22,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.090,553.77,47.9,0.996,-,0,5.59,0份,0.14%
2015-09-22,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.546,1160.54,27,1.510,-,0,24.77,0份,0.29%
2015-09-22,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.186,0.76,0.26,0.779,-,0,0.01,0份,0%
2015-09-22,,Cash,,,,,399047.72,,,,,,
2015-09-23,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.231,0.9,0.31,0.806,-,0,0.01,0份,0%
2015-09-23,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.100,558.85,52.98,0.996,-,0,5.08,0份,0.14%
2015-09-23,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.557,1168.79,35.26,1.510,-,0,8.26,0份,0.29%
2015-09-23,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.194,0.77,0.27,0.779,-,0,0.01,0份,0%
2015-09-23,,Cash,,,,,399047.72,,,,,,
2015-09-24,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.203,0.88,0.29,0.806,-,0,-0.02,0份,0%
2015-09-24,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.075,546.15,40.28,0.996,-,0,-12.7,0份,0.14%
2015-09-24,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.532,1150.03,16.49,1.510,-,0,-18.77,0份,0.29%
2015-09-24,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.174,0.75,0.25,0.779,-,0,-0.01,0份,0%
2015-09-24,,Cash,,,,,399047.72,,,,,,
2015-09-25,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.212,0.88,0.3,0.806,-,0,0.01,0份,0%
2015-09-25,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.079,548.18,42.31,0.996,-,0,2.03,0份,0.14%
2015-09-25,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.546,1160.54,27,1.510,-,0,10.51,0份,0.29%
2015-09-25,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.177,0.75,0.26,0.779,-,0,0,0份,0%
2015-09-25,,Cash,,,,,399047.72,,,,,,
2015-09-28,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.203,0.88,0.29,0.806,-,0,-0.01,0份,0%
2015-09-28,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.073,545.13,39.26,0.996,-,0,-3.05,0份,0.14%
2015-09-28,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.519,1140.27,6.73,1.510,-,0,-20.27,0份,0.28%
2015-09-28,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.150,0.74,0.24,0.779,-,0,-0.02,0份,0%
2015-09-28,,Cash,,,,,399047.72,,,,,,
2015-09-29,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.204,0.88,0.29,0.806,-,0,0,0份,0%
2015-09-29,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.068,542.59,36.72,0.996,-,0,-2.54,0份,0.14%
2015-09-29,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.536,1153.03,19.49,1.510,-,0,12.76,0份,0.29%
2015-09-29,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.157,0.74,0.24,0.779,-,0,0,0份,0%
2015-09-29,,Cash,,,,,399047.72,,,,,,
2015-09-30,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.180,0.86,0.27,0.806,-,0,-0.02,0份,0%
2015-09-30,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.048,532.43,26.56,0.996,-,0,-10.16,0份,0.13%
2015-09-30,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,750.67份,750.66969999999份,1.512,1135.01,1.48,1.510,-,0,-18.02,0份,0.28%
2015-09-30,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.136,0.73,0.23,0.779,-,0,-0.01,0份,0%
2015-09-30,,Cash,,,,,399047.72,,,,,,
2015-10-08,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.186,0.86,0.28,0.806,-,0,0.01,0份,0%
2015-10-08,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.055,535.98,30.12,0.996,-,0,3.56,0份,0.13%
2015-10-08,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.519,1656,1.29,1.518,-,0,7.63,339.5225份,0.41%
2015-10-08,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.143,0.73,0.23,0.779,-,0,0,0份,0%
2015-10-08,,Cash,,,,,398526.54,,,,,,
2015-10-09,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.221,0.89,0.3,0.806,-,0,0.03,0份,0%
2015-10-09,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.077,547.16,41.3,0.996,-,0,11.18,0份,0.14%
2015-10-09,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.564,1705.06,50.35,1.518,-,0,49.06,0份,0.43%
2015-10-09,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.180,0.76,0.26,0.779,-,0,0.02,0份,0%
2015-10-09,,Cash,,,,,398526.54,,,,,,
2015-10-12,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.237,0.9,0.31,0.806,-,0,0.01,0份,0%
2015-10-12,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.089,553.26,47.39,0.996,-,0,6.1,0份,0.14%
2015-10-12,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.581,1723.59,68.88,1.518,-,0,18.53,0份,0.43%
2015-10-12,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.193,0.77,0.27,0.779,-,0,0.01,0份,0%
2015-10-12,,Cash,,,,,398526.54,,,,,,
2015-10-13,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.272,0.93,0.34,0.806,-,0,0.03,0份,0%
2015-10-13,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.118,567.99,62.13,0.996,-,0,14.73,0份,0.14%
2015-10-13,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.636,1783.55,128.84,1.518,-,0,59.96,0份,0.44%
2015-10-13,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.232,0.79,0.29,0.779,-,0,0.03,0份,0%
2015-10-13,,Cash,,,,,398526.54,,,,,,
2015-10-14,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.269,0.92,0.34,0.806,-,0,0,0份,0%
2015-10-14,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.113,565.45,59.59,0.996,-,0,-2.54,0份,0.14%
2015-10-14,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.637,1784.64,129.93,1.518,-,0,1.09,0份,0.45%
2015-10-14,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.232,0.79,0.29,0.779,-,0,0,0份,0%
2015-10-14,,Cash,,,,,398526.54,,,,,,
2015-10-15,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.253,0.91,0.33,0.806,-,0,-0.01,0份,0%
2015-10-15,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.101,559.35,53.49,0.996,-,0,-6.1,0份,0.14%
2015-10-15,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.611,1756.3,101.59,1.518,-,0,-28.34,0份,0.44%
2015-10-15,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.217,0.78,0.28,0.779,-,0,-0.01,0份,0%
2015-10-15,,Cash,,,,,398526.54,,,,,,
2015-10-16,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.279,0.93,0.35,0.806,-,0,0.02,0份,0%
2015-10-16,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.121,569.52,63.65,0.996,-,0,10.16,0份,0.14%
2015-10-16,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.656,1805.36,150.65,1.518,-,0,49.06,0份,0.45%
2015-10-16,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.243,0.8,0.3,0.779,-,0,0.02,0份,0%
2015-10-16,,Cash,,,,,398526.54,,,,,,
2015-10-19,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.294,0.94,0.36,0.806,-,0,0.01,0份,0%
2015-10-19,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.133,575.61,69.75,0.996,-,0,6.1,0份,0.14%
2015-10-19,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.679,1830.43,175.72,1.518,-,0,25.07,0份,0.46%
2015-10-19,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.255,0.81,0.31,0.779,-,0,0.01,0份,0%
2015-10-19,,Cash,,,,,398526.54,,,,,,
2015-10-20,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.295,0.94,0.36,0.806,-,0,0,0份,0%
2015-10-20,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.131,574.6,68.73,0.996,-,0,-1.02,0份,0.14%
2015-10-20,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.690,1842.42,187.71,1.518,-,0,11.99,0份,0.46%
2015-10-20,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.257,0.81,0.31,0.779,-,0,0,0份,0%
2015-10-20,,Cash,,,,,398526.54,,,,,,
2015-10-21,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.305,0.95,0.36,0.806,-,0,0.01,0份,0%
2015-10-21,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.139,578.66,72.79,0.996,-,0,4.06,0份,0.14%
2015-10-21,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,1090.19份,1090.1922份,1.709,1863.14,208.43,1.518,-,0,20.71,0份,0.46%
2015-10-21,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,0.64份,0.64140000000771份,1.269,0.81,0.31,0.779,-,0,0.01,0份,0%
2015-10-21,,Cash,,,,,398526.54,,,,,,
2015-10-22,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,0.73份,0.72859999999491份,1.275,0.93,0.34,0.806,-,0,-0.02,0份,0%
2015-10-22,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,508.04份,508.04210000001份,1.132,575.1,69.24,0.996,-,0,-3.56,0份,0.14%
